timestamp,location_id,traffic_volume,avg_vehicle_speed,vehicle_count_cars,vehicle_count_trucks,vehicle_count_bikes,weather_condition,temperature,humidity,accident_reported,signal_status,hour,day_of_week,month,is_weekend,is_peak_hour,time_of_day,location_name,road_type,zone,road_capacity,free_flow_speed,total_vehicle_count,volume_capacity_ratio,speed_ratio,volume_score,speed_score,accident_score,weather_score,peak_hour_score,signal_score,congestion_score
2024-01-01 00:53:00,5,477,39.92596192358819,371,51,22,Sunny,30.530005083748865,43.57825716907407,0,Red,0,0,1,0,0,night,Jaistambh Chowk,CBD,Business District,700,35,444,0.6814285714285714,1.140741769245377,20,0,0,0,0,5,25
2024-01-01 00:54:00,3,588,40.50822232953095,720,45,44,Windy,32.86884753344899,31.039558305341824,0,Yellow,0,0,1,0,0,night,Swami Vivekananda Airport,Highway,Airport,1800,70,809,0.32666666666666666,0.5786888904218708,10,26,0,2,0,2,40
2024-01-01 00:55:00,1,209,64.34159346727752,275,43,39,Foggy,23.423081535502924,64.49463529242637,0,Red,0,0,1,0,0,night,Raipur Railway Station,Commercial,Transit,1200,45,357,0.17416666666666666,1.4298131881617226,5,0,0,5,0,5,15
2024-01-01 00:56:00,4,198,33.395803130311776,241,21,43,Windy,28.1941010128236,42.74488395139291,0,Green,0,0,1,0,0,night,Magneto Mall,Urban,Commercial,900,40,305,0.22,0.8348950782577944,5,8,0,2,0,0,15
2024-01-01 00:57:00,2,825,58.51159753132132,772,52,21,Sunny,13.036619272678188,42.49961506368248,0,Green,0,0,1,0,0,night,AIIMS Raipur,Arterial,Hospital,1000,50,845,0.825,1.1702319506264265,30,0,0,0,0,0,30
2024-01-01 00:58:00,4,279,54.23897743285609,800,58,23,Cloudy,25.21336608193096,37.522873720588834,0,Red,0,0,1,0,0,night,Magneto Mall,Urban,Commercial,900,40,881,0.31,1.3559744358214023,10,0,0,1,0,5,16
2024-01-01 00:59:00,2,761,54.08555074027204,20,93,25,Windy,27.56977553444615,41.375729410601565,0,Yellow,0,0,1,0,0,night,AIIMS Raipur,Arterial,Hospital,1000,50,138,0.761,1.0817110148054407,30,0,0,2,0,2,34
2024-01-01 01:00:00,2,611,59.78044076850656,565,29,29,Foggy,21.31920323778502,31.90734897330826,0,Green,1,0,1,0,0,night,AIIMS Raipur,Arterial,Hospital,1000,50,623,0.611,1.1956088153701312,20,0,0,5,0,0,25
2024-01-01 01:01:00,4,116,52.90292217173924,465,7,32,Cloudy,16.081827111767467,70.45388698491192,0,Green,1,0,1,0,0,night,Magneto Mall,Urban,Commercial,900,40,504,0.1288888888888889,1.322573054293481,5,0,0,1,0,0,6
2024-01-01 01:02:00,5,861,72.75530689078307,98,97,15,Foggy,31.934363013534785,54.08382697876166,0,Red,1,0,1,0,0,night,Jaistambh Chowk,CBD,Business District,700,35,210,1.23,2.078723054022374,40,0,0,5,0,5,50
2024-01-01 01:03:00,2,430,60.53480551701559,255,56,21,Cloudy,28.57271799884306,63.69147592638871,0,Red,1,0,1,0,0,night,AIIMS Raipur,Arterial,Hospital,1000,50,332,0.43,1.2106961103403118,10,0,0,1,0,5,16
2024-01-01 01:04:00,2,107,52.81779508228329,353,72,48,Foggy,32.49643204622987,68.21745708124797,0,Red,1,0,1,0,0,night,AIIMS Raipur,Arterial,Hospital,1000,50,473,0.107,1.0563559016456658,5,0,0,5,0,5,15
2024-01-01 01:05:00,4,308,69.7857872172587,368,19,49,Windy,30.460066187445587,88.34907373656955,0,Red,1,0,1,0,0,night,Magneto Mall,Urban,Commercial,900,40,436,0.3422222222222222,1.7446446804314675,10,0,0,2,0,5,17
2024-01-01 01:06:00,2,391,56.36879389600878,117,24,42,Windy,34.75936073947156,34.09595195133006,0,Red,1,0,1,0,0,night,AIIMS Raipur,Arterial,Hospital,1000,50,183,0.391,1.1273758779201757,10,0,0,2,0,5,17
2024-01-01 01:07:00,2,887,37.46865486711074,101,18,17,Sunny,14.804318330361223,55.07506108988628,0,Red,1,0,1,0,0,night,AIIMS Raipur,Arterial,Hospital,1000,50,136,0.887,0.7493730973422149,30,16,0,0,0,5,51
2024-01-01 01:08:00,4,179,32.425695090594274,521,4,6,Cloudy,12.168694195099352,44.75387601158886,0,Red,1,0,1,0,0,night,Magneto Mall,Urban,Commercial,900,40,531,0.1988888888888889,0.8106423772648569,5,8,0,1,0,5,19
2024-01-01 01:09:00,4,776,29.13966713976073,496,74,49,Sunny,18.42506978343146,58.60271591140885,0,Yellow,1,0,1,0,0,night,Magneto Mall,Urban,Commercial,900,40,619,0.8622222222222222,0.7284916784940182,30,16,0,0,0,2,48
2024-01-01 01:10:00,1,221,73.9673127527661,723,78,25,Rainy,13.225104375581472,85.22833803683329,0,Yellow,1,0,1,0,0,night,Raipur Railway Station,Commercial,Transit,1200,45,826,0.18416666666666667,1.6437180611725801,5,0,0,4,0,2,11
2024-01-01 01:11:00,5,819,62.60812590788395,784,71,7,Windy,23.078252822655607,73.43905591488908,0,Yellow,1,0,1,0,0,night,Jaistambh Chowk,CBD,Business District,700,35,862,1.17,1.788803597368113,40,0,0,2,0,2,44
2024-01-01 01:12:00,5,663,76.24270628985924,569,82,5,Cloudy,25.825722635193564,69.7169751887936,0,Yellow,1,0,1,0,0,night,Jaistambh Chowk,CBD,Business District,700,35,656,0.9471428571428572,2.178363036853121,40,0,0,1,0,2,43
2024-01-01 01:13:00,2,258,56.19750834289658,33,86,29,Sunny,24.457215379335093,56.47475258587065,0,Green,1,0,1,0,0,night,AIIMS Raipur,Arterial,Hospital,1000,50,148,0.258,1.1239501668579317,5,0,0,0,0,0,5
2024-01-01 01:14:00,5,852,48.40405288969475,411,26,38,Sunny,16.481003384756754,70.26674990246616,0,Yellow,1,0,1,0,0,night,Jaistambh Chowk,CBD,Business District,700,35,475,1.217142857142857,1.3829729397055643,40,0,0,0,0,2,42
2024-01-01 01:15:00,2,403,23.58298933825336,366,39,22,Rainy,32.72060077421992,31.942522636464485,0,Green,1,0,1,0,0,night,AIIMS Raipur,Arterial,Hospital,1000,50,427,0.403,0.4716597867650672,10,26,0,4,0,0,40
2024-01-01 01:16:00,1,520,60.29853689276179,329,95,31,Sunny,10.52930909338446,65.17432032179366,0,Green,1,0,1,0,0,night,Raipur Railway Station,Commercial,Transit,1200,45,455,0.43333333333333335,1.3399674865058175,10,0,0,0,0,0,10
2024-01-01 01:17:00,4,847,54.93252558609387,405,25,21,Foggy,18.700333844087325,63.226593755954895,0,Green,1,0,1,0,0,night,Magneto Mall,Urban,Commercial,900,40,451,0.9411111111111111,1.3733131396523466,40,0,0,5,0,0,45
2024-01-01 01:18:00,4,165,79.41253361525729,228,26,41,Windy,27.974811884951524,50.79842591779157,1,Red,1,0,1,0,0,night,Magneto Mall,Urban,Commercial,900,40,295,0.18333333333333332,1.9853133403814323,5,0,10,2,0,5,22
2024-01-01 01:19:00,4,313,34.34952666693458,376,61,42,Sunny,29.173223158728987,42.090847525446506,0,Green,1,0,1,0,0,night,Magneto Mall,Urban,Commercial,900,40,479,0.3477777777777778,0.8587381666733644,10,8,0,0,0,0,18
2024-01-01 01:20:00,5,711,51.84424131721015,620,82,44,Sunny,20.402963610796498,78.45333305995806,0,Green,1,0,1,0,0,night,Jaistambh Chowk,CBD,Business District,700,35,746,1.0157142857142858,1.4812640376345756,40,0,0,0,0,0,40
2024-01-01 01:21:00,1,861,59.05744010708436,587,49,8,Rainy,10.422745331409176,33.23172686730579,0,Green,1,0,1,0,0,night,Raipur Railway Station,Commercial,Transit,1200,45,644,0.7175,1.312387557935208,30,0,0,4,0,0,34
2024-01-01 01:22:00,5,491,58.67547048454062,113,41,30,Foggy,25.451091978093437,34.18037186541527,0,Red,1,0,1,0,0,night,Jaistambh Chowk,CBD,Business District,700,35,184,0.7014285714285714,1.6764420138440177,30,0,0,5,0,5,40
2024-01-01 01:23:00,5,597,53.67761257690417,112,28,6,Sunny,11.577367029580392,56.43130463904879,0,Yellow,1,0,1,0,0,night,Jaistambh Chowk,CBD,Business District,700,35,146,0.8528571428571429,1.5336460736258333,30,0,0,0,0,2,32
2024-01-01 01:24:00,1,502,66.61568061963354,359,38,8,Windy,12.696394403837862,45.1532728445163,0,Yellow,1,0,1,0,0,night,Raipur Railway Station,Commercial,Transit,1200,45,405,0.41833333333333333,1.4803484582140787,10,0,0,2,0,2,14
2024-01-01 01:25:00,1,894,32.29887257160898,616,59,12,Windy,26.25626799115475,74.72714481042122,0,Green,1,0,1,0,0,night,Raipur Railway Station,Commercial,Transit,1200,45,687,0.745,0.717752723813533,30,16,0,2,0,0,48
2024-01-01 01:26:00,1,526,63.53763201646496,464,40,2,Sunny,17.81220815357137,68.05140461527145,0,Green,1,0,1,0,0,night,Raipur Railway Station,Commercial,Transit,1200,45,506,0.43833333333333335,1.4119473781436658,10,0,0,0,0,0,10
2024-01-01 01:27:00,1,336,57.18407428598535,776,32,34,Foggy,18.70075381770632,76.35208776759788,0,Yellow,1,0,1,0,0,night,Raipur Railway Station,Commercial,Transit,1200,45,842,0.28,1.2707572063552302,5,0,0,5,0,2,12
2024-01-01 01:28:00,4,352,73.7645067076744,41,82,32,Windy,22.170176924581085,49.48073738026807,0,Yellow,1,0,1,0,0,night,Magneto Mall,Urban,Commercial,900,40,155,0.39111111111111113,1.84411266769186,10,0,0,2,0,2,14
2024-01-01 01:29:00,3,360,70.8316663420149,310,82,20,Windy,34.46445987148435,74.43113637707205,0,Yellow,1,0,1,0,0,night,Swami Vivekananda Airport,Highway,Airport,1800,70,412,0.2,1.01188094774307,5,0,0,2,0,2,9
2024-01-01 01:30:00,3,257,38.9088223479532,504,96,30,Foggy,34.13605551846776,81.73819416158393,0,Yellow,1,0,1,0,0,night,Swami Vivekananda Airport,Highway,Airport,1800,70,630,0.14277777777777778,0.5558403192564743,5,26,0,5,0,2,38
2024-01-01 01:31:00,1,667,36.57423949850919,803,15,33,Foggy,20.40652498400188,50.7164696651143,0,Green,1,0,1,0,0,night,Raipur Railway Station,Commercial,Transit,1200,45,851,0.5558333333333333,0.8127608777446488,20,8,0,5,0,0,33
2024-01-01 01:32:00,3,495,78.89919943114687,325,22,31,Sunny,16.637480430457053,50.39374926971,0,Green,1,0,1,0,0,night,Swami Vivekananda Airport,Highway,Airport,1800,70,378,0.275,1.1271314204449552,5,0,0,0,0,0,5
2024-01-01 01:33:00,3,719,51.635910854915394,653,6,34,Cloudy,17.564803816602893,83.99708423438557,1,Green,1,0,1,0,0,night,Swami Vivekananda Airport,Highway,Airport,1800,70,693,0.39944444444444444,0.7376558693559342,10,16,10,1,0,0,37
2024-01-01 01:34:00,1,682,74.38525783486621,147,25,14,Rainy,16.719532454040102,32.98741519126255,0,Yellow,1,0,1,0,0,night,Raipur Railway Station,Commercial,Transit,1200,45,186,0.5683333333333334,1.6530057296636935,20,0,0,4,0,2,26
2024-01-01 01:35:00,3,104,29.83286142682893,644,95,31,Cloudy,23.30614517854452,51.01136434385066,0,Red,1,0,1,0,0,night,Swami Vivekananda Airport,Highway,Airport,1800,70,770,0.057777777777777775,0.42618373466898474,5,35,0,1,0,5,46
2024-01-01 01:36:00,5,961,58.56913488801046,292,11,5,Cloudy,25.17149519502321,37.120349524308246,0,Yellow,1,0,1,0,0,night,Jaistambh Chowk,CBD,Business District,700,35,308,1.3728571428571428,1.673403853943156,40,0,0,1,0,2,43
2024-01-01 01:37:00,2,61,68.59161124163518,867,71,44,Windy,22.21948470574165,31.738835414998576,0,Yellow,1,0,1,0,0,night,AIIMS Raipur,Arterial,Hospital,1000,50,982,0.061,1.3718322248327035,5,0,0,2,0,2,9
2024-01-01 01:38:00,2,706,76.84371497518681,461,4,20,Foggy,20.19985905620381,36.77216505880933,0,Red,1,0,1,0,0,night,AIIMS Raipur,Arterial,Hospital,1000,50,485,0.706,1.5368742995037363,30,0,0,5,0,5,40
2024-01-01 01:39:00,1,449,40.24040846102141,522,91,32,Windy,15.282125939248443,55.874747470816615,0,Red,1,0,1,0,0,night,Raipur Railway Station,Commercial,Transit,1200,45,645,0.37416666666666665,0.894231299133809,10,8,0,2,0,5,25
2024-01-01 01:40:00,4,957,63.498870195443146,149,68,31,Rainy,22.06263978455284,71.21736415366745,0,Yellow,1,0,1,0,0,night,Magneto Mall,Urban,Commercial,900,40,248,1.0633333333333332,1.5874717548860786,40,0,0,4,0,2,46
2024-01-01 01:41:00,1,697,52.328780542377146,151,48,18,Sunny,18.52756784506145,47.35694546651778,0,Red,1,0,1,0,0,night,Raipur Railway Station,Commercial,Transit,1200,45,217,0.5808333333333333,1.1628617898306033,20,0,0,0,0,5,25
2024-01-01 01:42:00,4,564,23.63773556398809,616,25,32,Rainy,23.539886569958576,80.98051844406749,0,Red,1,0,1,0,0,night,Magneto Mall,Urban,Commercial,900,40,673,0.6266666666666667,0.5909433890997022,20,26,0,4,0,5,55
2024-01-01 01:43:00,2,705,61.39998423853661,501,4,27,Windy,26.8797353877906,56.256937724301,0,Red,1,0,1,0,0,night,AIIMS Raipur,Arterial,Hospital,1000,50,532,0.705,1.2279996847707322,30,0,0,2,0,5,37
2024-01-01 01:44:00,1,591,61.40579349427061,881,21,30,Windy,25.832804360915265,88.09368305770462,0,Yellow,1,0,1,0,0,night,Raipur Railway Station,Commercial,Transit,1200,45,932,0.4925,1.364573188761569,10,0,0,2,0,2,14
2024-01-01 01:45:00,5,286,75.83640829079222,409,78,20,Windy,21.562255260139835,87.249340166622,0,Yellow,1,0,1,0,0,night,Jaistambh Chowk,CBD,Business District,700,35,507,0.4085714285714286,2.1667545225940636,10,0,0,2,0,2,14
2024-01-01 01:46:00,3,328,49.83874677013834,612,12,33,Windy,23.901310606999026,76.3965733600089,0,Red,1,0,1,0,0,night,Swami Vivekananda Airport,Highway,Airport,1800,70,657,0.18222222222222223,0.711982096716262,5,16,0,2,0,5,28
2024-01-01 01:47:00,4,397,33.81505524263088,344,27,14,Cloudy,17.12140327401899,85.94432976879709,0,Green,1,0,1,0,0,night,Magneto Mall,Urban,Commercial,900,40,385,0.4411111111111111,0.8453763810657721,10,8,0,1,0,0,19
